"Time,Zenith Angle (?_z),Solar Azimuth (?_s),Incidence Angle (?),Surface Inclination (?),Surface Azimuth (?)"
"00:00,107.39,336.79,79.65,30,0"
"00:20,108.64,341.44,80.07,30,0"
"00:40,109.61,346.18,80.4,30,0"
"01:00,110.3,351.0,80.63,30,0"
"01:20,110.7,355.88,80.77,30,0"
"01:40,110.8,0.79,80.8,30,0"
"02:00,110.6,5.69,80.73,30,0"
"02:20,110.11,10.55,80.57,30,0"
"02:40,109.33,15.35,80.31,30,0"
"03:00,108.26,20.07,79.95,30,0"
"03:20,106.94,24.67,79.49,30,0"
"03:40,105.36,29.16,78.95,30,0"
"04:00,103.54,33.51,78.32,30,0"
"04:20,101.51,37.72,77.6,30,0"
"04:40,99.28,41.79,76.81,30,0"
"05:00,96.87,45.73,75.94,30,0"
"05:20,94.29,49.55,75.0,30,0"
"05:40,91.56,53.24,74.01,30,0"
"06:00,88.7,56.83,72.96,30,0"
"06:20,85.73,60.32,71.86,30,0"
"06:40,82.64,63.74,70.71,30,0"
"07:00,79.47,67.09,69.54,30,0"
"07:20,76.22,70.4,68.34,30,0"
"07:40,72.9,73.69,67.12,30,0"
"08:00,69.53,76.97,65.89,30,0"
"08:20,66.11,80.27,64.66,30,0"
"08:40,62.65,83.62,63.44,30,0"
"09:00,59.18,87.04,62.23,30,0"
"09:20,55.69,90.58,61.06,30,0"
"09:40,52.2,94.27,59.91,30,0"
"10:00,48.74,98.17,58.82,30,0"
"10:20,45.3,102.33,57.78,30,0"
"10:40,41.93,106.83,56.8,30,0"
"11:00,38.63,111.77,55.9,30,0"
"11:20,35.46,117.28,55.08,30,0"
"11:40,32.45,123.48,54.35,30,0"
"12:00,29.66,130.55,53.73,30,0"
"12:20,27.18,138.66,53.21,30,0"
"12:40,25.09,147.95,52.8,30,0"
"13:00,23.51,158.44,52.51,30,0"
"13:20,22.56,169.92,52.35,30,0"
"13:40,22.31,181.94,52.3,30,0"
"14:00,22.79,193.85,52.39,30,0"
"14:20,23.96,205.05,52.59,30,0"
"14:40,25.71,215.16,52.92,30,0"
"15:00,27.94,224.06,53.36,30,0"
"15:20,30.53,231.82,53.91,30,0"
"15:40,33.4,238.6,54.57,30,0"
"16:00,36.46,244.56,55.33,30,0"
"16:20,39.68,249.87,56.18,30,0"
"16:40,43.0,254.66,57.1,30,0"
"17:00,46.4,259.04,58.1,30,0"
"17:20,49.85,263.11,59.16,30,0"
"17:40,53.32,266.93,60.28,30,0"
"18:00,56.81,270.57,61.43,30,0"
"18:20,60.3,274.07,62.62,30,0"
"18:40,63.77,277.46,63.83,30,0"
"19:00,67.21,280.79,65.05,30,0"
"19:20,70.62,284.08,66.28,30,0"
"19:40,73.97,287.37,67.51,30,0"
"20:00,77.27,290.66,68.73,30,0"
"20:20,80.5,293.98,69.92,30,0"
"20:40,83.64,297.35,71.08,30,0"
"21:00,86.69,300.79,72.21,30,0"
"21:20,89.63,304.31,73.3,30,0"
"21:40,92.45,307.93,74.33,30,0"
"22:00,95.13,311.66,75.31,30,0"
"22:20,97.66,315.52,76.23,30,0"
"22:40,100.02,319.5,77.07,30,0"
"23:00,102.19,323.62,77.84,30,0"
"23:20,104.15,327.87,78.53,30,0"
"23:40,105.89,332.27,79.13,30,0"
